abaca abaka
incomparable walang-kahulilip
incomprehensible di-matingkala
inconsistency pagkadimaugnayin
inconstancy kawalang-ligo
incorporation pagsasapian
increase pagdaragdag
increase pagdugang
increment dugang
incubator limliman
incubator pamisaan
indefinite dituring
indefinite integral
indefinite dituring
indefinite na
indefinite lagom
indefinitely nang
indefinitely padituring
indefinite pronoun
indefinite panghalip
indefinite panaklaw
indehiscent ditilarin
Independence Day
Independence Araw
Independence ng
Independence Kalayaan
independent sarilinin
independent variable
independent sarilining
independent aligin
index talaturuan
India Indiya
India ink
India langking
Indian almond
Indian talisay
Indianapolis Indianapolis
Indian Ocean
Indian Karagatang
Indian Indiyano
Indian style
Indian tansila
indicative mood
indicative panaganong
indicative paturol
indicative paturol
indictment sakdal
indifference kalatubaan
indifferent malatuba
indigestion disatunaw
indignation ngupinyo
indignation pangungupinyo
indigo anyil
indigo indigo
indirectly patambis
indirectly tambis
individualism pagkamakasarili
Indochina Indotsina
Indonesia Indonesya
Indonesian Indones
Indra Indra
induced abortion
induced pagkapaagas
inductance dawit
induction coil
induction panawit-kidkid
induction karawitan
induction pamuuran
inductive reasoning
inductive pabuod
inductive na
inductive pagmamatwid
inductor panawit
indulgence indulhensiya
industrialist mangangalalang
industrialization pagsasakalalang
industrialization sakalalang
industrialize isakalalang
industrialize kalalangin
industrialize sakalalangin
industrial kalalangin
industrial peace
industrial kalalanging
industrial kapayapaan
Industrial Revolution
Industrial Kalalanging
Industrial Himagsikan
industrial school
industrial kalalanging
industrial paaralan
industry kalalang
inelastic diigkasin
inert gas
inert matigal
inert na
inert buhag
inertia tigal
inert matigal
inexact disingkad
in fact
in ang
in totoo
in fact
in sa
in totoo
in lang
infancy kasanggulan
infantry hukbong-lakad
infectious nakahahawa
inferiority complex
inferiority pamamalahibo
inferiority complex
inferiority panganganino
infinite awangganin
infinite series
infinite awangganing
infinite dalayray
infinitesimal napakalinggit
infinitive panaganong
infinitive pawatas
infinitive pawatas
infinity awanggan
infix gitlapi
inflammable takaw-apoy
inflammation pamamaga
inflatable pamantugin
inflated mamantog
inflation pamamantog
inflection sabaylo
influence hibo
influenza trangkaso
informal dimaanyo
informant tagahimaton
information impormasyon
information pabatid
informer tagahimaton
infrasonic suludnugin
infrastructural suludkayarianin
infrastructure suludkayarian
ingratitude kaburisingkawan
ingratitude kabusungan
ingratitude pasiwalanloob
inguinal pansingit
inhalation suludhingahan
inhaler langhapan
inherent kadikit
inheritance mana
inheritance manahan
inhibition sansala
inhibitor panansala
inhibit sansalain
injunction pagpigil
injunction utos
injunction sa
injunction pagpigil
injurious mapaminsala
injurious nakasasama
injury kapinsalaan
injustice labag
injustice sa
injustice katarungan
ink tinta
inkwell dinsulan
inkwell tintero
inkwell tinteruhan
innocence kawalang-muwang
inorganic compound
inorganic dihaying
inorganic balangkap
inorganic dihayin
inorganic ditaghayin
in other
in words
in alalaong
in baga'y
in sa
insane baliw
insanity pagkasiraulo
insecticide pamatay-kulisap
insect insekto
insipid mayapa
insolence himusong
insolence kahimusungan
insoluble dilusawin
inspect masid
inspector pandaw
inspect tingin
inspiration sigliwa
inspiration sigya
inspiration suludhingahan
instantaneous iglapin
instant noodle
instant ramyun
instant takda
instant takna
institutionalize isatatag
institution gawiin
institution tatagin
instructor dalubturo
instructor Dtro
instrumental nakatulong
insulation sabukod
insulator pambukod
insurance policy
insurance polisa
integer buumbilang
integrable malalagom
integral buumbilangin
integral calculus
integral laguming
integral tayahan
integral lagom
integrand lalagumin
integrated circuit
integrated nilagom
integrated na
integrated salikop
integration paglagom
integrity integridad
intellectual isipnon
intellectualism pagkamakaisipnon
intellectual makaisipnon
intellectual pang-isipan
intelligence katalinuhan
intelligence pamalay
intelligence pamalayan
intelligence talino
intelligent intelihente
intelligent matalino
intelligent pinag-isipan
intelligentsia santalinuhan
interaction tambilos
intercalary meristem
intercalary labawbiyasing
intercalary hatianan
interchange panawiran
interdependence saligan
interest hilig
interest interes
interest kawilihan
interest patubo
interest rate
interest kabilsan
interest ng
interest tubo
interest tubo
interference kahilabtan
interjection pandamdam
intermediate pampagitan
intermission entreakto
intermittent gatol
internal combustion
internal engine
internal loob-liyabing
internal likhisog
internal combustion
internal loob-liyab
International Court
International of
International Justice
International Pandaigdigang
International Hukumang
International Pangkatarungan
international law
international batas-pandaigdig
international pabansa-bansa
international pamansaan
international relations
international kaugnayang
international pambansa-bansa
international relations
international pakikipagbansa-bansa
international relations
international pakikipamansaan
Internet cafe
Internet kompyuteran
Internet cafe
Internet panunuran
Internet Internet
internode biyas
interplanetary kabuntalaanin
interplanetary pangkabuntalaan
interpolate isalingit
interpretation interpretasyon
interpretation pagkahulugan
interpreter tagaliwat
interrogative patanong
interrupter panggatol
intersect bumagtas
intersection bagtas
intersection bagtasan
intersection pagbagtas
interval patlang
interview pakikipanayam
intestine bituka
intransitive katawanin
intransitive verb
intransitive pandiwang
intransitive katawanin
intricate saligutgot
intrigue pungka
introvert loobwili
intuitive loob-alamin
in vain
in lihing
in vain
in sa
in walang
in kabuluhan
invention imbensiyon
inventory talatinggalan
inverse function
inverse baligtad
inverse na
inverse kabisa
investment pamumuhunan
investor mamumuhunan
invisible alimuos
invisible ditahaw
invitation aya
involute sultag
iodine yodo
ion dagipik
ionic bond
ionic dagipiking
ionic bigkis
ionic dagipikin
ionization sadagipik
ionize sadagipikin
ionosphere kadagipikon
iota iyota
ipecacuanha ipekakwana
iPhone iPhone
Iranian Irano
Iranian Iranyo
Iran Iran
Iraqi Iraki
Iraq Irak
Ireland Irlanda
iridescence kasilakan
iridescence silak
iridescent masilak
iris alikmata
iris diaphragm
iris alikmata
Irish Irlandes
iron curtain
iron kurtinang
iron pangyero
iron fist
iron kamay
iron na
iron bakal
iron lung
iron bagang
iron pangyero
irony libak
irony parikala
Iroquois Irokes
irrational atbang
irrational bilang
irrational na
irrational ditagwayin
irrational ditagwayin
irrationality kaatbangan
irrational maatbang
irrational number
irrational bilang
irrational na
irrational ditagwayin
irreversible ditumbalikin
irritability pagkatalusaling
irritable talusaling
irritate alibadbaran
irritating nakakainis
Isaiah Isaias
is ay
Ishmael Ismael
island universe
island pulong
island sansinukob
isobar guhit
isobar ng
isobar kadiin
isobar kadiin
isocost guhit
isocost ng
isocost kahalaga
isocost kahalaga
isoelectronic kadagisikin
isolated bukod
isomer kasanyo
isomorphism kasanyuan
isoquant guhit
isoquant ng
isoquant kadami
isoquant kadami
isosceles kaduhain
isosceles triangle
isosceles kaduhaing
isosceles tatsiha
isostasy katigalan
isostasy katiglan
isothermal kakaintanin
isotherm kakaintan
isotope kahasik
Israel Israel
issue labas
isthmus dalahikan
isthmus tangkay
Italian Italyano
Italy Italya
itchy ma-kati
iteration pagliwan
I told
I you
I so
I sabi
I ko
I sa
I 'yo
I eh
I've been
I've robbed
I've ninakawan
I've ako
ivory garing
jackal tsakal
jacket pabalat
jackfruit langka
jackfruit nangka
jack gato
jack of
jack clubs
jack sotang
jack bastos
jack of
jack diamonds
jack sotang
jack oros
jack of
jack spades
jack sotang
jack ispada
jade hade
jaguar haguwar
jail piitan
jalap halapa
Jamaica Hamayka
jam diyam
James Jaime
James Santiago
janissary henisaro
janitor tagalinis
January enero
Japanese Hapon
Japanese Hapones
Japan Hapon
japchae chapchae
japchae jabchae
japchae japchae
jarbua terapon
jarbua gagaong
jarbua terapon
jarbua gunggong
jarbua terapon
jarbua kanigit
jasmine hasmin
jasmine sampaga
jasper haspe
jaundice mamunglo
jaundice pamumunglo
Java Haba
javelin balibabat
javelin habalina
jawbone sihang
jaw panga
jazz diyas
jazz dyas
jealous selos
jeep dyip
jeer atsoy
Jehovah's Witnesses
Jehovah's Mga
Jehovah's Saksi
Jehovah's ni
Jehovah's Heoba
Jehovah's Witnesses
Jehovah's Mga
Jehovah's Saksi
Jehovah's ni
Jehovah's Jehova
Jehovah's Witness
Jehovah's Saksi
jejunum gitnang-isaw
jellyfish dikya
jelly haleya
jerboa daganlulundag
jerboa herbo
Jeremiah Jeremias
jerk lukbain
jerky lukba
Jerusalem Herusalen
Jesus Hesus
jet asabatse
jettison taponlulan
jettison taponlulanin
Jew Hudyo
Jew's harp
Jew's birimbaw
jicama singkamas
jihad jihad
jingle bell
jingle baimbi
jinx kasaykasay
job abyad
job gawain
job hanapbuhay
Job Job
job trabaho
jockey hinete
Joel Joel
John Dyon
John Juan
joint bukong
joint sugpong
joint venture
joint sanibang
joint sikap
joke biro
joke gago
joke gaguhan
joke panggagago
Jonah Jonas
Jordan Hordan
Joseph Jos
Joseph surah
Joseph Yusuf
Joshua Josue
joss stick
joss tanghas
journalism pamahayagan
journalism pamamahayagan
jubilee hubeliyo
jubilee hubelyo
Judaism Hudaismo
Judas Hudas
Judas Judas
judge hukom
judge huwes
Judges Aklat
Judges ng
Judges mga
Judges Hukom
Judges Mga
Judges Hukomt
judicature pagkahukom
judicial branch
judicial sangay
judicial tagapaghukom
judo dyudo
judo hudo
juice katas
July Hulyo
jump for
jump joy
jump umalabas
jump rope
jump lubid-luksuhan
June Hunyo
junior kubtaunan
juniper hunipero
Jupiter Hupiter
jurisprudence palahatulan
jury inampalan
justice hustisya
Justice of
Justice the
Justice Peace
Justice Hukom
Justice Pamayapa
just now
just ngangayon
Kaiser Kayser
kaleidoscope kaledoskopyo
kancho bembong
kancho bombet
kancho jempot
kancho katsibong
kancho pidyok
kangaroo kanggaru
kangaroo kangguro
kangaroo kangguru
Kansas Kansas
kaolin kawlin
kapok buboy
kappa kapa
karaoke karaoke
karateka mangangarate
karate karate
karst karst
karyokinesis butudkilos
karyosome butudlawas
katakana katakana
katana katana
kathoey kathoey
kawakawa tulingang-puti
Kazakhstan Kasahst
Kazakhstan n
Kazakhstan Kasakst
Kazakhstan n
kelvin kelbin
Kelvin scale
Kelvin sukurang
Kelvin Kelbin
kendo kendo
kenning saalam
Kenya Kenya
kerosene gaas
ketchup ketsap
kettledrum atabal
kettle kawa
kettle takure
keyboard palapindutan
keyboard tipaan
keychain palasusian
keyhole butas-susian
keyhole susian
keynote diwampati
keynoter tagadiwanpati
key susi
Khmer Khmer
Khrushchev Hru
Khrushchev v
kid bata
kid batang
kid kambing
kidney bato
kidney bean
kidney abitsuwelas
kidney stone
kidney buo
kidney sa
kidney bato
Kiev Kiev
killer whale
killer orka
kilogram kilogramo
kilogram libogramo
kilo- libo-
kilometre kilometro
kilometre libopanukat
kimono kimono
kindling panduop
kindling point
kindling tungos
kindling ng
kindling duop
kindling point
kindling tungos
kindling ng
kindling pagduop
kind uri
kinematics lihukan
kinetic energy
kinetic kilusing
kinetic kusog
kinetic kilusin
kinetics kilusan
King Arthur
King Haring
King Arturo
kingdom anyuhay
kingdom kaharian
Kingdom of
Kingdom Spain
Kingdom Kaharian
Kingdom ng
Kingdom Espanya
kingfisher susulbot
king hari
king of
king clubs
king haring-bastos
king of
king diamonds
king haring-oros
king of
king spades
king haring-ispada
Kings Mga
Kings Hari
kin hinlog
kin kadugo
kin karugo
kiss hahagkan
kiss halik
kiss halikan
kiss humalik
kiss maghalikan
kitchen kusina
kitchen lutuan
kitchen silid-lutuan
kite saranggola
kitten kuting
kiwi fruit
kiwi bungang
kiwi kiwi
kiwi fruit
kiwi kiwi
kleptomania kulawin
klipspringer saltarokas
knead lapisain
kneecap bayugo
kneecap suklob
kneecap ng
kneecap tuhod
kneecap suklob-tuhod
knee tuhod
knife kampit
knife kutsilyo
knight kabalyero
knight maginoo
knock-kneed pakid
knock-kneed piki
knot buhol
know alam
know kilala
know kilalanin
knowledge karunungan
know mabatid
know makilala
know malaman
know maunawaan
know umunawa
knuckle buko
koala kowala
kookaburra kukabura
kopek kopek
Korea Korea
Kosovo Kosovo
kraft paper
kraft sotsowa
Krasnoyarsk Krasnoyarsk
Kremlin Kremlin
krypton kripton
kudu kudu
kurtosis umbok
Kuwait Kuwait
Kyrgyzstan Kirgistan
labia majora
labia labing
labia panlabas
labia minora
labia labing
labia panloob
laboratory panaliksikan
lace gayas
lacquer laka
lacrimal duct
lacrimal daluyang-luha
lacrosse lakros
ladybird marikita
lady gining
lagoon bai
lagoon lanaw
lake lawa
lambda lamda
lamb tupa
Lamentations Mga
Lamentations Panaghoy
lamp lampara
lampshade pantalya
lampshade ng
lampshade lampaba
lance tulag
landing talurang
land lupa
land lupain
landmark palatandaan
landslide guho
landslide ng
landslide lupa
landslide guhunlupa
land surveyor
land manunukat-lupa
land surveyor
land tagasukat-lupa
langsat lansones
language barrier
language hadlang
language ng
language wika
lanolin lanolina
lanthanum lantano
Lao Laosyano
Laos Laos
Laotian Laosyano
larch alerses
lard tunis
large intestine
large isaw
large intestine
large malaking
large bituka
laryngitis magantatagukan
larynx patinigan
larynx tatagukan
lascivious hitad
lascivious malanya
lasciviousness kahitaran
lass ining
lass nene
lass neneng
lastborn bunso
Last Judgment
Last Huling
Last Paghuhukom
last night
last kagabi
last quarter
last bulang
last nagdudurog
Last Supper
Last Huling
Last Hapunan
last word
last huling
last kataga
latch busulan
late gutoy
latent heat
latent lingid
latent na
latent init
lateral line
lateral panagilirang
lateral guhit
lateral panagiliran
Latin America
Latin Amerikang
Latin Latino
latitude antaslayog
lattice sala-sala
Latvia Letonya
laudanum lawdano
launch pad
launch bunsuran
laundry labanderya
laundry paglalaba
laundry tubal
lava laba
lavender alusema
law batas
law dalubbatasan
law of
law averages
law batas
law ng
law balasak
law of
law cosines
law kasinwaying
law batas
law of
law sines
law sinwaying
law batas
lawrencium lawrensyo
lawsuit pleyto
lawyer abogado
lawyer mananaggol
laxative palambut-dumi
layer saray
layout talatag
laziness kamaymayan
laziness katamaran
lazybones bato
lazybones ang
lazybones katawan
lcm PLK
leader pamuno
leaf dahon
leaflet miklat
leak lagatak
Leaning Tower
Leaning of
Leaning Pisa
Leaning Nakahilig
Leaning na
Leaning Tore
Leaning ng
Leaning Pisa
Leaning Tower
Leaning of
Leaning Pisa
Leaning Tore
Leaning ng
Leaning Pisa
leap year
leap taong-pares
least common
least multiple
least pinakamaliit
least na
least lahatang
least kaparami
leather katad
leaven lebadura
leave umal
leave s
Lebanon Lebanon
lectern atril
lectern pasistol
ledger lagumang-aklat
leech linta
leech mandarangkat
leek kutsay
left-handed kaliwete
leftist maka-kaliwa
left kaliwa
legacy pamana
legato banayad
leg binti
legend alamat
legendary maalamat
legendary pang-alamat
legging polaynas
legislative branch
legislative sangay
legislative tagapagbatas
legislature batasan
legume tapladbunga
lei ley
leisure aliwaksay
lemel tayubasi
lemonade limonada
lemongrass nugo
lemongrass tanglad
lemongrass tanlad
lemur lemur
length haba
lens lente
lens paningob
lentil lentehas
Leo Halimaw
leopard leyopardo
leper ketongin
leprosarium ketungan
leprosy ketong
lesbian lesbiyana
lesbian lesbya
lesbian tibo
lesbian tomboy
Lesotho Lesotho
Lesotho Lesoto
lesson plan
lesson banghay-aralin
-less pugot
-less ang
less than
less kubus
less sa
-less walang
let hayaan
let pabayaan
letterhead membrete
letterhead ulunliham
letter letra
letter liham
letter sulat
letter titik
lettuce letsugas
leucoplast putikatwan
leukocyte puting
leukocyte sihay-dugo
lever dalawit
Leviticus Levitico
Leviticus Talalibithan
lewd malaswa
liability sagutin
liana dakbaging
libel paninirang-puri
liberal malabusaw
libido iyag
libido libog
librarian tagaingat-aklatan
library aklatan
library silid-aklatan
Libra Talaro
Libya Libya
license plate
license plaka
lichen ligbus
licorice liquorice
licorice regalis
licorice sagamanin
Liechtenstein Litstenstayn
lie humiga
life cycle
life ikot-buhay
lift asensor
liftoff paglumpat
ligament gatil
ligature pang-angkop
lighter pansindi
lighthouse keeper
lighthouse bantay-parola
lighthouse parola
light ilaw
light ilawan
lighting pagsusuga
light liwanag
lightning kidlat
lightning rod
lightning kayag-kidlat
lightning rod
lightning pararayos
lightweight magaantimbang
light year
light sinag-taon
like magustohan
lilac lila
lily liryo
lima bean
lima patani
limb galamay
lime apog
lime pirali
limestone batong-apog
limit hanggan
limit hgn
limousine limo
limousine limusina
limp humingkod
linear algebra
linear tuwiring
linear panandaan
linear equation
linear tuwiring
linear tumbasan
linear function
linear tuwiring
linear kabisa
line guhit
line segment
line putol
line ng
line guhit
linguist dalubwika
linguistics dalubwikaan
linin sulirin
linotype hantikan
linseed linas
lion leyon
lion liy
lion n
lip labi
lip service
lip ngawngaw
lipstick lipstik
liquefaction sadanum
liquefied natural
liquefied gas
liquefied dinanum
liquefied na
liquefied likas
liquefied na
liquefied buhag
liquefy sadanumin
liquid danum
liquid danumin
liquified dinanum
liquor likor
listen dinggin
listen dinig
listen kinig
listen makinig
listen narinig
listen pakinggan
listen rinig
list listahan
literacy kanulatan
literary criticism
literary pamumunang
literary pampanitikan
literary pampanitikan
literate nulat
literature literatura
literature panitikan
lithia litina
lithium lityo
lithosphere kalupaan
Lithuania Litwanya
litmus paper
litmus tornasol
litmus tornasol
litotes makumbaba
litre litro
Little Dipper
Little Maliit
Little na
Little Tabo
little finger
little hinliliit
little finger
little kalingkingan
little maliit
liturgy liturhiya
liturgy palamisahan
liturgy palasambahan
livelihood kabuhayan
live mabuhay
live manirahan
liver atay
livestock paghahayupan
living pamumuhay
living room
living salas
living thing
living katubaghay
lizard butiki
llama liyama
loanword salitang
loanword hiram
lobster ulang
local anesthetic
local pampamanhid
local pampook
local pandito
lock kandado
locksmith panday-kaban
locomotive lokomotora
locust balang
lodge lohiya
logarithmic logpaulitin
logarithm logpaulit
logger mangangalap
logging pangangalap
logical fallacy
logical matwiraning
logical kasinsayan
logic dalubmatwiran
logic matwiran
log kalap
log punghal
-logy -lohia
loitering ansikot
loitering asikot
loiter mag-ansikot
loiter mag-asikot
LOL jejeje
lollipop lolipap
loment putulbunga
Londoner Londinense
London Londres
loneliness kalaiwan
loneliness laiw
lonely nalalaiw
long bone
long biyas
longitude antasligid
longitudinal wave
longitudinal along
longitudinal ayon
long live
long mabuhay
look tingnan
loop likaw
Lord Panginoon
lord poon
Lord's Prayer
Lord's Ama
Lord's Namin
lottery loteriya
lotus baino
lotus bayno
lotus lauas
loudspeaker altabos
loudspeaker daktinig
loudspeaker palakas-tinig
lounge silid-pahingahan
louse kuto
love at
love first
love sight
love pag-ibig
love sa
love unang
love sulyap
love at
love first
love sight
love pag-ibig
love sa
love unang
love tingin
love gusto
love ibig
love mahal
love mahilig
love makipagmahalan
love nais
love nanasa
love pag-ibig
love pagmamahal
lovesickness amoritis
love wala
lower back
lower sasapnan
lowercase kaha-baha
lowercase minuskula
lower house
lower mababang
lower kapulungan
lowest common
lowest denominator
lowest pinakamaliit
lowest na
lowest lahatang
lowest pamahagi
lowland labak
lowland pita
low tide
low kati
low tide
low oyo
lubricant padanlog
lubricant pampadulas
lubricate danlugan
Lucifer Lusiper
luck suwerte
lucky charm
lucky galing
lucky manigo
lucmo tiyesa
Lufthansa Lufthansa
luggage bagahe
luggage dala-dalahan
Luke Lucas
lukewarm maligamgam
lullaby lulay
lullaby oyayi
lumbar sasapnin
lumber kalap
lumen lumen
luminescence kasanagan
luminescence sanag
luminescent masanag
luminous flux
luminous liwanaging
luminous himaymay
lumpia lumpia
lunar module
lunar bulaning
lunar litsilid
lunatic baliw
lunatic sira-ulo
lunch tanghalian
lung baga
lungfish isdambaga
lutein dilawdinsol
lute laud
Luxembourg Luksemburgo
lychee alpay
lychee litsiyas
lye tilis
lymph node
lymph kulani
lynx linse
lyophilic danumhigumin
lyophobic danumsikwayin
lysosome biluslawas
Macau Makaw
macchiato makiyato
Macedonia Masedonya
machete sundang
machine gun
machine ametralyadora
machine gun
machine ulipaltog
machine lansong
machine lansungan
machine makina
machinery kasigmuan
machine sigmo
mackerel alumahan
macroeconomics dakagimatan
macroeconomics dak-agimatan
Madagascar Madagaskar
made-up inayos
made-up nag-imbento
Madras Madras
maelstrom alimpuyo
mafia mafia
magazine magasin
Magellan Magallanes
magic hikmat
magic mahika
magic salamangka
Magi Tatl
Magi ng
Magi Har
Magi Tatl
Magi ng
Magi Har
Magi ng
Magi M
Magi go
Magna Carta
Magna Batayang
Magna Kasulatan
magna cum
magna laude
magna may
magna dakilang
magna papuri
magnesium magnesyo
magnet batubalani
magnet gayuma
magnetic balniin
magnetic compass
magnetic balniing
magnetic paraluman
magnetic field
magnetic balniing
magnetic larang
magnetic field
magnetic himalani
magnetic flux
magnetic balniing
magnetic himaymay
magnetic flux
magnetic density
magnetic kasiksikan
magnetic ng
magnetic balniing
magnetic himaymay
magnetic pole
magnetic balniing
magnetic taluktok
magnetics balnian
magnetic variation
magnetic balniing
magnetic kaaligan
magnetism balnian
magnetism kabalnian
magnetization sabalani
magneto balnitab
magnetochemistry balnikapnayan
magnetodynamics balnisigan
magnetoelectricity balnidagitab
magnetohydrodynamics balnidanumsigan
magnetometer balnisukat
magnetooptical balnisugaanin
magnetooptics balnisugaan
magnetospectroscopy balnibalngawsipatan
magnetosphere balnibulog
magnifying glass
magnifying pandako
magnitude dakil
magnitude kinang
magnolia magnolya
magpie dominiko
mahjong madyong
mahogany kaoba
maid of
maid honor
maid abay
maid na
maid pandang
maid l
mailbox buson
mailman tagahatid-sulat
main pangunahin
maintenance panataman
maize mais
major chord
major dakong
major sanlinigan
major kalakhan
make up
make gawa
make up
make mag-ayos
make up
make magbati
make up
make maghabol
make up
make mag-imbento
Malachi Malakias
malachite malakita
malachite tansong
malachite lungti
malachite tansong
malachite lunti
maladroit padaskul-daskol
malaria malarya
malaria pangiki
Malawi Malawi
Malayalam wikang
Malayalam Malayalam
Malay Malayo
Malaysia Malasya
Malaysian Malasyahin
Maldives Maldibas
male lalaki
malfunction pagsalang-kimot
malfunction salang-kimot
Mali Mali
mallard papaw
malleability pagkapukpukin
malleable pukpukin
mallet balatak
mallow padurut
Malta Malta
malt malta
maltose maltosa
mameluke mameluko
mammal mamalya
mammal mamipero
mammal wilik
mammary gland
mammary katasang-suso
mammectomy alisuso
manatee manati
Manchu Mantsu
Manchuria Manchuria
mandarin orange
mandarin dalanghita
mandarin orange
mandarin naranghita
mandible babasihang
mandolin mandolina
manga manga
manganese mangganeso
mange dusdos
mango mangga
mango puno
mango ng
mango mangga
mangosteen manggustan
mangrove bakawan
manicurist manikurista
manifold damihan
Manila hemp
Manila abaka
Manila Maynila
manna ash
manna mana
manna mana
mannequin maoy
mansion himbabahay
manticore mantikora
mantissa sampuambahagi
man translations
man lalaki
man translations
man tao
manual hawaklat
manual kinakamay
manual pangkamay
many thanks
many maraming
many maraming
many salamat
many thanks
many maraming
many salamat
maple arse
map mapa
marble batumbuhay
marble holen
marble marmol
marchioness markesa
March Marso
march martsa
margarine margarina
marginal cost
marginal karagdagang
marginal halaga
marginal utility
marginal karagdagang
marginal dahat
marigold amarilyo
marijuana marihuwana
marijuana tsongke
marimba marimba
marine karagatnin
maritime karagatnin
marjoram mehorana
mark alaal
marker pen
marker pananda
mark gurlis
Mark Marcos
mark marko
markup pagpapatong
markup patong
marquess markes
marrow utik
marshal mariskal
marsh lati
marshmallow halaman
marshmallow ng
marshmallow masmelow
Mars Marte
martial law
martial batas
martial militar
Mary Maria
marzipan marsapan
mashed kamas
mashed kinamas
mashed potatoes
mashed kamas
mashed na
mashed patatas
mass bugat
masses mga
masses santao
masseter pangnguya
massive bungkong
mass misa
Mass misa
mastectomy alisuso
master amo
master bossing
master capitan
master compatron
master guro
master kapitan
master key
master liyabe-maestra
master maestro
Master of
Master Science
Master pantas
Master ng
Master agham
master pantas
masterpiece akdang-guro
masterpiece likhang-guro
mastic almasiga
mast puliagan
masturbate jakol
masturbate salsal
masturbation jakol
masturbation masturbasyon
masturbation pagsalsal
match posporo
materialism hilig-makalupa
materialism pagkamakasangkap
mathematical induction
mathematical sipnaying
mathematical pamuuran
mathematical sipnayanin
mathematical sipnayin
mathematical statistics
mathematical sipnaying
mathematical palaulatan
mathematician maninipnay
mathematician sipnayanon
mathematics matematika
mathematics sipnayan
matrix baskagan
matter butang
matter likhatas
Matthew Mateo
Mauritania Mauritania
Mauritania Mawritanya
Mauritius Mawrisyo
maw butse
maw labot
maxilla taasihang
maxim pananabi
maximum higdulan
maximum higdulin
mayapple mansanas
mayapple ng
mayapple Mayo
mayapple podopil
maybe baka
may maaari
May Mayo
mayonnaise krema
mayonnaise ng
mayonnaise ensalada
mayonnaise mayonesa
may puwede
may the
may Force
may be
may with
may you
may naway
may ang
may Pwersa
may ay
may suma-iyo
mazurka masurka
Mc Donald's
Mc Mc
Mc Do
Mc Donald's
Mc Mc
Mc Donald's
mead agwamyel
meadow parang
mean bulastog
mean ibig
mean sabihin
mean imbi
mean inilaan
mean ipakahulugan
mean kagintaan
mean kagitnaan
mean kusain
mean mababa
mean mahina
mean mangahulugan
mean mumurahin
mean panggitna
mean paraan
mean pro-medyo
mean sadyain
mean tamtaman
mean tikisin
mean value
mean theorem
mean hunain
mean ng
mean tamtaming
mean halga
measles tigdas
measurement sukat
meatball almondigas
meatball bolabola
meat karne
meat laman
Mecca Meka
mechanical engineering
mechanical sigwasing
mechanical agsikapan
mechanical sigmuin
mechanic maninigmo
mechanic mekaniko
mechanics dalubsigwasan
mechanics sigwasan
mechanism sigmuan
medal medalya
meddle makialam
meddle manghimasok
median gitnaan
medication paggamot
medieval medyebal
mediocre madampat
mediocrity dampat
mediocrity kadampatan
mediocrity karampatan
Mediterranean Sea
Mediterranean Dagat
Mediterranean Mediteraneo
medium talaytayan
meet magtagp
megaphone panalingagngag
megapode tabon
melancholic lukulok
melancholy lukulok
Melanesian Timpuluanin
Melanesia Timpuluan
melodrama himigdula
melodramatic mahimigdula
melody melodiya
melting point
melting tungos
melting ng
melting pagkatunaw
melt tunawin
membrane bamban
membrane lamad
memoir talang-alaala
memoir talanggunita
memoir talang-gunita
memorandum paandam
memorandum sulat-paalaala
memory alaala
memory of
memory a
memory goldfish
memory buslong
memory butas
menarche abot-tubo
mendicant tanglo
menopause layag
menstruation kanya
menstruation regla
menstruation sapanahon
mental age
mental isipning
mental gulang
mental disorder
mental isipning
mental balatian
mental health
mental isipning
mental lusog
mental hygiene
mental isipning
mental palalusugan
mental illness
mental isipning
mental karamdaman
mental isipnin
menu putahe
menu talaulaman
meow ingaw
meow ngiyaw
meow ngumiyaw
meow umingaw
Mephistophelean Mepistopeliko
merchandise baligyain
mercury asoge
Mercury Merkuryo
meringue meringge
meristem hatianan
meritorious tampat
mermaid sirena
merman siyokoy
Merry Christmas
Merry and
Merry a
Merry Happy
Merry New
Merry Year
Merry Maligayang
Merry Pasko
Merry at
Merry Manigong
Merry Bagong
Merry Taon
merry Christmas
merry maligayang
merry pasko
merry-go-round tiyubibo
mesa talampas
mesentery dalambituka
mesocarp gitbalok
meson tungapik
mesophyll gitdahon
mesophyll gitnandahon
mesophyte halamang
mesophyte basain
mesothorax gitnandibdib
Mesozoic panggitnang
Mesozoic kapanahunan
Messiah Mesyas
metabasis lipat
metabolism kapbisa
metagalaxy labawsanlibutan
metal bakal
metal kansa
metallic metalhin
metalloid malametal
metallurgy balahakan
metal metal
metamorphic rock
metamorphic banyuhing
metamorphic bato
metamorphosis banyuhay
metaphase lakdawyugto
metaphor metafora
metaphysics higliknayan
metaphysics labawsugnayan
metaplasm lakdawkaphay
metaplastic lakdawkaphayin
meteor bulalakaw
meteorite bulalato
meteorite meteorita
meteoroid bulalayak
meteorology meteorolohiya
methamphetamine bato
methamphetamine shabu
methane istan
method pamamaraan
methylene metileno
meticulous malambis
metonymy halituring
metre metro
metre panukat
metropolis daklunsod
metropolis metropoli
Mexico City
Mexico Lungsod
Mexico ng
Mexico Mehiko
Mexico Mehiko
Mexico Meksiko
Micah Mikas
mica mika
microanalysis miksurian
microbiology mikhaynayan
microcephalic mikuluhin
microcephalic mik-uluhin
microclimate mikpanhunan
microcomputer mikpanuos
microeconomics mikagimatan
microeconomics mik-agimatan
micrometer mikpanukat
